# det      x           y          z             theta       phi         psi
   1      2.1385      2.1385     39.8855        4.3353    135.0000    225.0000
   2      0.0000      2.1416     39.9427        3.0697    180.0000    180.0000
   3     -2.1385      2.1385     39.8855        4.3353    225.0000    135.0000
   4     -2.1416      0.0000     39.9427        3.0697    270.0000     90.0000
   5     -2.1385     -2.1385     39.8855        4.3353    315.0000     45.0000
   6      0.0000     -2.1416     39.9427        3.0697      0.0000      0.0000
   7      2.1385     -2.1385     39.8855        4.3353     45.0000    -45.0000
   8      2.1416      0.0000     39.9427        3.0697     90.0000    270.0000
   9      3.2096      3.2096     27.4907        9.3762    134.9971    225.0029
  10      1.0720      3.2287     27.6545        7.0109    161.5946    198.4054
  11     -1.0743      3.2287     27.6544        7.0130    198.3999    161.6001
  12     -3.2096      3.2096     27.4907        9.3766    225.0000    135.0000
  13     -3.2287      1.0743     27.6544        7.0130    251.6001    108.3999
  14     -3.2287     -1.0720     27.6545        7.0109    288.4054     71.5946
  15     -3.2096     -3.2096     27.4907        9.3762    315.0029     44.9971
  16     -1.0720     -3.2287     27.6545        7.0123    341.6166     18.3834
  17      1.0743     -3.2287     27.6544        7.0103     18.3889    -18.3889
  18      3.2096     -3.2096     27.4907        9.3757     45.0000    -45.0000
  19      3.2287     -1.0743     27.6544        7.0103     71.6111    -71.6111
  20      3.2287      1.0720     27.6545        7.0123    108.3834    251.6166
  21      4.2442      4.2442     20.9139       16.0142    135.0071    224.9929
  22      2.1324      4.3064     21.2208       12.7579    153.6534    206.3466
  23      0.0000      4.3273     21.3235       11.4701    180.0000    180.0000
  24     -2.1324      4.3065     21.2208       12.7584    206.3455    153.6545
  25     -4.2442      4.2442     20.9138       16.0123    225.0000    135.0000
  26     -4.3065      2.1324     21.2208       12.7584    243.6545    116.3455
  27     -4.3273      0.0000     21.3235       11.4701    270.0000     90.0000
  28     -4.3064     -2.1324     21.2208       12.7579    296.3466     63.6534
  29     -4.2442     -4.2442     20.9139       16.0142    314.9929     45.0071
  30     -2.1324     -4.3064     21.2208       12.7581    333.6568     26.3432
  31      0.0000     -4.3273     21.3235       11.4701      0.0000      0.0000
  32      2.1324     -4.3065     21.2208       12.7576     26.3443    -26.3443
  33      4.2442     -4.2442     20.9138       16.0162     45.0000    -45.0000
  34      4.3065     -2.1324     21.2208       12.7576     63.6557    -63.6557
  35      4.3273      0.0000     21.3235       11.4701     90.0000    270.0000
  36      4.3064      2.1324     21.2208       12.7581    116.3432    243.6568
  37      4.2672      4.2672     12.8849       25.0953    135.0000    225.0000
  38      2.1586      4.4214     13.3503       20.2312    153.9821    206.0179
  39      0.0000      4.4731     13.5067       18.3244    180.0000    180.0000
  40     -2.1585      4.4213     13.3503       20.2300    206.0196    153.9804
  41     -4.2672      4.2672     12.8874       25.1871    224.7846    135.2154
  42     -4.4213      2.1585     13.3503       20.2300    243.9804    116.0196
  43     -4.4731      0.0000     13.5067       18.3244    270.0000     90.0000
  44     -4.4214     -2.1586     13.3503       20.2312    296.0179     63.9821
  45     -4.2672     -4.2672     12.8849       25.0959    315.4325     44.5675
  46     -2.1586     -4.4214     13.3503       20.2306    333.9769     26.0231
  47      0.0000     -4.4731     13.5067       18.3244      0.0000      0.0000
  48      2.1585     -4.4213     13.3503       20.2318     26.0214    -26.0214
  49      4.2672     -4.2672     12.8874       25.0036     44.7828    -44.7828
  50      4.4213     -2.1585     13.3503       20.2318     63.9786    -63.9786
  51      4.4731      0.0000     13.5067       18.3244     90.0000    270.0000
  52      4.4214      2.1586     13.3503       20.2306    116.0231    243.9769
  53      4.2842      4.2842      7.9200       37.0887    135.0086    224.9914
  54      2.1765      4.6230      8.5635       30.6195    154.6026    205.3974
  55      0.0000      4.7362      8.7753       28.1220    180.0000    180.0000
  56     -2.1765      4.6230      8.5635       30.6195    205.3974    154.6026
  57     -4.2840      4.2840      7.9200       37.0835    225.0000    135.0000
  58     -4.6227      2.1765      8.5633       30.6047    244.5888    115.4112
  59     -4.7362      0.0000      8.7753       28.1220    270.0000     90.0000
  60     -4.6230     -2.1765      8.5635       30.6195    295.3974     64.6026
  61     -4.2842     -4.2842      7.9200       37.0903    314.9887     45.0113
  62     -2.1766     -4.6228      8.5633       30.6139    334.6261     25.3739
  63      0.0000     -4.7362      8.7753       28.1220      0.0000      0.0000
  64      2.1765     -4.6230      8.5633       30.6106     25.4057    -25.4057
  65      4.2840     -4.2840      7.9200       37.0835     45.0000    -45.0000
  66      4.6227     -2.1765      8.5633       30.6089     64.5858    -64.5858
  67      4.7362      0.0000      8.7753       28.1220     90.0000    270.0000
  68      4.6228      2.1766      8.5633       30.6061    115.4169    244.5831
